Index PNJ V102K

00 - femme_brune
01 - femme_blonde
02 - femme_rousse
03 - femme_chatain
04 - femme_noire
05 - femme_sportive
06 - femme_touriste
07 - femme_ecoliere
08 - femme_aventuriere
09 - femme_elegante
10 - homme_noir_cheveux
11 - homme_blond
12 - homme_brun
13 - homme_roux
14 - homme_peau_foncee
15 - homme_sportif
16 - homme_randonneur
17 - homme_scientifique
18 - homme_employe
19 - homme_marin
20 - policier
21 - infirmiere
22 - maire
23 - professeur
24 - agent_gare
25 - cuisinier
26 - vendeur
27 - ranger
28 - dresseur
29 - touriste_etranger
30 - papy
31 - mamy
32 - adolescent
33 - kid
34 - fille_kid
35 - clown
36 - musicien
37 - artiste
38 - client
39 - player_rivale
40 - professeur_aurine_homme
41 - fille_base
42 - garcon_bleu
43 - garcon_jaune
