ÉCLATS SAUVAGES — VALDORA V107K
TABLE DE CORRESPONDANCE DES NOUVEAUX NOMS

Les identifiants numériques et les chemins de sprites restent inchangés.
Les sauvegardes sont donc compatibles : seul le nom affiché change.

ID | TYPE | ANCIEN NOM -> NOUVEAU NOM
------------------------------------------------------------------------
001 | Nature     | Florin -> Brindel
002 | Nature     | Floror -> Feuilcerf
003 | Nature     | Florex -> Sylvarch
004 | Feu        | Pyroin -> Tisonnet
005 | Feu        | Pyroor -> Salambrase
006 | Feu        | Pyroex -> Dracendre
007 | Eau        | Aquain -> Rivelot
008 | Eau        | Aquaor -> Ondeloutre
009 | Eau        | Aquaex -> Néréonde
010 | Foudre     | Voltin -> Zipou
011 | Foudre     | Voltor -> Foudrille
012 | Foudre     | Voltex -> Voltélan
013 | Ombre      | Noctin -> Murne
014 | Ombre      | Noctor -> Ombrelune
015 | Ombre      | Noctex -> Noxéline
016 | Roche      | Rocin -> Galetou
017 | Roche      | Rocor -> Rocapace
018 | Roche      | Rocex -> Lithorace
019 | Air        | Zephin -> Plumiz
020 | Air        | Zephor -> Zéphrel
021 | Air        | Zephex -> Alcyvent
022 | Spore      | Myrin -> Mycotte
023 | Spore      | Myror -> Sporonge
024 | Spore      | Myrex -> Fongrelune
025 | Nature     | Cervin -> Scarfaon
026 | Nature     | Cervor -> Boiscarab
027 | Nature     | Cervex -> Cervémeraude
028 | Glace      | Brumin -> Frimousse
029 | Glace      | Brumor -> Ursigivre
030 | Glace      | Brumex -> Boréalours
031 | Feu        | Solarin -> Solion
032 | Feu        | Solaror -> Flambéroi
033 | Feu        | Solarex -> Héliocrin
034 | Glace      | Cryoin -> Glaçou
035 | Glace      | Cryoor -> Pingivre
036 | Glace      | Cryoex -> Cryopenn
037 | Ombre      | Lunain -> Hulune
038 | Ombre      | Lunaor -> Strigombre
039 | Ombre      | Lunaex -> Nocturiel
040 | Roche      | Terrain -> Terratou
041 | Roche      | Terraor -> Armadroc
042 | Roche      | Terraex -> Canyoncuir
043 | Foudre     | Fulgin -> Éclaloup
044 | Foudre     | Fulgor -> Fulgriffe
045 | Foudre     | Fulgex -> Tonnerage
046 | Nature     | Sylvin -> Fougri
047 | Nature     | Sylvor -> Sylvécure
048 | Nature     | Sylvex -> Canopiflair
049 | Eau        | Coralin -> Corailou
050 | Eau        | Coralor -> Hippocor
051 | Eau        | Coralex -> Récifâme
052 | Feu        | Cendrin -> Brasin
053 | Feu        | Cendror -> Bélierbraise
054 | Feu        | Cendrex -> Cornobsid
055 | Ombre      | Onyxin -> Nyxou
056 | Ombre      | Onyxor -> Panthonyx
057 | Ombre      | Onyxex -> Obscélyx
058 | Eau        | Azurin -> Azufin
059 | Eau        | Azuror -> Delphonde
060 | Eau        | Azurex -> Céruléon
061 | Glace      | Nivin -> Nivette
062 | Glace      | Nivor -> Givrenard
063 | Glace      | Nivex -> Polarynne
064 | Spore      | Muscin -> Mycolim
065 | Spore      | Muscor -> Sporacoque
066 | Spore      | Muscex -> Fongastrop
067 | Roche      | Runain -> Runet
068 | Roche      | Runaor -> Lithorune
069 | Roche      | Runaex -> Arkégolem
070 | Air        | Aeroin -> Griflou
071 | Air        | Aeroor -> Aérocroc
072 | Air        | Aeroex -> Célestigrif
073 | Roche      | Dunain -> Dromin
074 | Roche      | Dunaor -> Grésadaire
075 | Roche      | Dunaex -> Dunarche
076 | Lumière    | Prismin -> Prislume
077 | Lumière    | Prismor -> Paprisme
078 | Lumière    | Prismex -> Iridélya
079 | Spore      | Sporain -> Crapospore
080 | Spore      | Sporaor -> Mycrobate
081 | Spore      | Sporaex -> Lumifonge
082 | Neutre     | Feralin -> Groinou
083 | Neutre     | Feralor -> Sanglierce
084 | Neutre     | Feralex -> Brocferal
085 | Lumière    | Lumain -> Halopin
086 | Lumière    | Lumaor -> Lucièvre
087 | Lumière    | Lumaex -> Astralapin
088 | Eau        | Marein -> Marécaille
089 | Eau        | Mareor -> Tortivague
090 | Eau        | Mareex -> Pélagor
